date,value
1971-12-24,315.210000
1971-12-27,314.960000
1971-12-28,315.010000
1971-12-29,315.210000
1971-12-30,315.010000
1971-12-31,315.010000
1972-01-03,314.860000
1972-01-04,314.960000
1972-01-05,314.860000
1972-01-06,312.010000
1972-01-07,312.500000
1972-01-10,312.990000
1972-01-11,314.470000
1972-01-12,313.480000
1972-01-13,313.970000
1972-01-14,312.990000
1972-01-17,313.380000
1972-01-18,312.890000
1972-01-19,312.790000
1972-01-20,312.010000
1972-01-21,312.300000
1972-01-24,312.210000
1972-01-25,311.820000
1972-01-26,311.530000
1972-01-27,310.080000
1972-01-28,310.460000
1972-01-31,310.560000
1972-02-01,310.370000
1972-02-02,308.550000
1972-02-03,309.120000
1972-02-04,308.640000
1972-02-07,308.170000
1972-02-08,307.690000
1972-02-09,304.790000
1972-02-10,304.690000
1972-02-11,304.690000
1972-02-14,304.230000
1972-02-15,304.140000
1972-02-16,303.950000
1972-02-17,303.950000
1972-02-18,303.490000
1972-02-22,302.850000
1972-02-23,302.480000
1972-02-24,302.110000
1972-02-25,302.480000
1972-02-28,303.950000
1972-02-29,303.400000
1972-03-01,303.210000
1972-03-02,303.030000
1972-03-03,302.660000
1972-03-06,302.750000
1972-03-07,302.300000
1972-03-08,302.020000
1972-03-09,301.660000
1972-03-10,301.930000
1972-03-13,302.300000
1972-03-14,302.210000
1972-03-15,302.110000
1972-03-16,302.020000
1972-03-17,302.110000
1972-03-20,302.300000
1972-03-21,302.110000
1972-03-22,302.110000
1972-03-23,301.930000
1972-03-24,302.300000
1972-03-27,302.570000
1972-03-28,302.850000
1972-03-29,303.770000
1972-03-30,303.770000
1972-03-31,304.320000
1972-04-03,304.140000
1972-04-04,304.970000
1972-04-05,305.160000
1972-04-06,304.880000
1972-04-07,303.210000
1972-04-10,302.110000
1972-04-11,302.300000
1972-04-12,302.430000
1972-04-13,302.570000
1972-04-14,302.940000
1972-04-17,302.570000
1972-04-18,302.390000
1972-04-19,302.940000
1972-04-20,303.030000
1972-04-21,303.210000
1972-04-24,305.160000
1972-04-25,304.320000
1972-04-26,303.770000
1972-04-27,304.230000
1972-04-28,304.880000
1972-05-01,304.410000
1972-05-02,304.230000
1972-05-03,304.320000
1972-05-04,304.230000
1972-05-05,304.320000
1972-05-08,305.060000
1972-05-09,304.970000
1972-05-10,303.770000
1972-05-11,303.580000
1972-05-12,303.860000
1972-05-15,304.320000
1972-05-16,304.410000
1972-05-17,304.510000
1972-05-18,304.600000
1972-05-19,304.040000
1972-05-22,304.410000
1972-05-23,304.230000
1972-05-24,304.320000
1972-05-25,304.320000
1972-05-26,304.410000
1972-05-30,305.340000
1972-05-31,304.690000
1972-06-01,304.410000
1972-06-02,304.230000
1972-06-05,304.690000
1972-06-06,304.510000
1972-06-07,304.410000
1972-06-08,304.320000
1972-06-09,304.230000
1972-06-12,304.510000
1972-06-13,304.040000
1972-06-14,303.950000
1972-06-15,304.040000
1972-06-16,303.950000
1972-06-19,303.860000
1972-06-20,303.400000
1972-06-21,302.940000
1972-06-22,302.070000
1972-06-23,294.120000
1972-06-26,298.510000
1972-06-27,298.510000
1972-06-28,296.740000
1972-06-29,300.750000
1972-06-30,300.930000
1972-07-03,300.840000
1972-07-05,300.030000
1972-07-06,300.570000
1972-07-07,300.930000
1972-07-10,301.300000
1972-07-11,301.570000
1972-07-12,301.200000
1972-07-13,301.020000
1972-07-14,301.200000
1972-07-17,301.020000
1972-07-18,300.750000
1972-07-19,301.200000
1972-07-20,300.930000
1972-07-21,301.110000
1972-07-24,301.200000
1972-07-25,300.750000
1972-07-26,301.200000
1972-07-27,301.200000
1972-07-28,301.200000
1972-07-31,301.390000
1972-08-01,301.200000
1972-08-02,301.200000
1972-08-03,301.200000
1972-08-04,300.930000
1972-08-07,301.110000
1972-08-08,301.200000
1972-08-09,301.200000
1972-08-10,301.110000
1972-08-11,301.110000
1972-08-14,301.110000
1972-08-15,301.200000
1972-08-16,301.200000
1972-08-17,301.200000
1972-08-18,301.200000
1972-08-21,301.110000
1972-08-22,301.200000
1972-08-23,301.200000
1972-08-24,301.200000
1972-08-25,301.200000
1972-08-28,301.200000
1972-08-29,301.200000
1972-08-30,301.110000
1972-08-31,301.110000
1972-09-01,301.110000
1972-09-05,301.200000
1972-09-06,301.200000
1972-09-07,301.110000
1972-09-08,301.110000
1972-09-11,301.200000
1972-09-12,301.110000
1972-09-13,301.110000
1972-09-14,301.110000
1972-09-15,301.110000
1972-09-18,301.110000
1972-09-19,301.110000
1972-09-20,301.110000
1972-09-21,301.110000
1972-09-22,301.110000
1972-09-25,301.110000
1972-09-26,301.110000
1972-09-27,301.020000
1972-09-28,301.110000
1972-09-29,301.110000
1972-10-02,301.110000
1972-10-03,301.110000
1972-10-04,301.110000
1972-10-05,301.110000
1972-10-06,300.930000
1972-10-10,300.930000
1972-10-11,301.020000
1972-10-12,301.020000
1972-10-13,301.110000
1972-10-16,301.110000
1972-10-17,301.110000
1972-10-18,301.110000
1972-10-19,301.020000
1972-10-20,300.750000
1972-10-24,301.020000
1972-10-25,301.200000
1972-10-26,300.840000
1972-10-27,300.480000
1972-10-30,301.020000
1972-10-31,301.110000
1972-11-01,301.020000
1972-11-02,300.660000
1972-11-03,299.940000
1972-11-06,301.020000
1972-11-08,301.020000
1972-11-09,301.020000
1972-11-10,300.930000
1972-11-13,301.020000
1972-11-14,301.020000
1972-11-15,301.110000
1972-11-16,301.110000
1972-11-17,301.020000
1972-11-20,301.110000
1972-11-21,301.110000
1972-11-22,301.110000
1972-11-24,301.020000
1972-11-27,301.110000
1972-11-28,301.200000
1972-11-29,301.110000
1972-11-30,301.110000
1972-12-01,301.110000
1972-12-04,301.110000
1972-12-05,301.110000
1972-12-06,301.110000
1972-12-07,301.110000
1972-12-08,301.110000
1972-12-11,301.070000
1972-12-12,301.110000
1972-12-13,301.110000
1972-12-14,301.110000
1972-12-15,301.110000
1972-12-18,301.110000
1972-12-19,301.110000
1972-12-20,301.110000
1972-12-21,301.110000
1972-12-22,301.110000
1972-12-26,301.390000
1972-12-27,302.020000
1972-12-28,302.020000
1972-12-29,301.660000
1973-01-02,301.390000
1973-01-03,301.430000
1973-01-04,301.200000
1973-01-05,301.300000
1973-01-08,302.210000
1973-01-09,302.070000
1973-01-10,301.840000
1973-01-11,301.480000
1973-01-12,301.660000
1973-01-15,301.660000
1973-01-16,301.930000
1973-01-17,302.110000
1973-01-18,302.210000
1973-01-19,302.570000
1973-01-22,302.480000
1973-01-23,301.660000
1973-01-24,302.110000
1973-01-25,301.840000
1973-01-26,301.750000
1973-01-29,301.660000
1973-01-30,301.390000
1973-01-31,301.390000
1973-02-01,300.930000
1973-02-02,299.580000
1973-02-05,300.750000
1973-02-06,299.850000
1973-02-07,299.850000
1973-02-08,299.400000
1973-02-09,293.260000
1973-02-13,266.670000
1973-02-14,265.960000
1973-02-15,263.020000
1973-02-16,263.850000
1973-02-20,265.960000
1973-02-21,264.900000
1973-02-22,265.460000
1973-02-23,264.900000
1973-02-26,265.600000
1973-02-27,265.960000
1973-02-28,265.670000
1973-03-01,265.600000
1973-03-02,262.120000
1973-03-05,259.070000
1973-03-06,261.780000
1973-03-07,261.920000
1973-03-08,261.440000
1973-03-09,260.420000
1973-03-12,257.070000
1973-03-13,254.970000
